overall_rank,amfi_code,scheme_name,fund_house,category,fund_score,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown_pct
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,85.88,0.32559869001005803,1.4482911703262602,0.2698375144191807,1.46,-11.265729075028275
2,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,81.88,0.3044100167352506,1.1801011976606492,0.2926358334175106,1.36,-18.188513572116292
3,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,81.62,0.28348105787785727,1.3067439695428407,0.27330465038306057,1.45,-12.97396816518679
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,80.38,0.3107480621658334,1.0936987435346308,0.2719535450128533,1.38,-16.217208574644847
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,79.62,0.3111766658791899,1.0265242847993001,0.2119482701352573,0.8,-12.588275606922517
6,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,76.62,0.3361804922735321,0.9982309868636414,0.2607666908004223,1.38,-20.960883862039193
7,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,74.44,0.2918145991652894,1.208266567372718,0.23201007160635082,1.54,-15.012385498645331
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,73.31,0.2796284072275892,1.2349300257743299,0.2827036785246582,1.6,-16.39674294693263
9,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,67.81,0.2776134494174203,1.0272133278753697,0.21399784776051212,1.6,-11.291596329323072
10,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,67.0,0.2556843144917498,0.9453082575156094,0.3033696538698332,1.43,-28.706005721764548
11,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,66.38,0.257594281513873,1.1321218524747247,0.26598577542043045,1.61,-17.24810575345138
12,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,66.31,0.25883943330562165,0.9497958246616032,0.3005787817097677,1.52,-31.171900300634213
13,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,66.19,0.2173066181637049,1.0816591793457044,0.21829397904608644,1.51,-17.41407508665723
14,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,65.62,0.15621784755976686,0.9532794968660105,0.1986859936686296,0.66,-11.803493502764296
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,58.88,0.1769654338000204,0.7757902498211209,0.17729754927531766,0.92,-15.200013055606398
16,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,58.62,0.19202314412666044,0.664856998549062,0.1513635464823924,0.89,-11.650624505409091
17,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,58.19,0.20236951351005872,0.6452074382933216,0.15643835948169668,0.72,-18.62974313859551
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,54.62,0.18876151419397846,0.8170993373494371,0.17048756803412696,1.57,-10.85986215250232
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,53.25,0.13428793488877178,0.7979728586052847,0.17703302365844073,1.42,-13.897862823061635
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,53.06,0.14166348167302956,0.9262873467360146,0.20873010086942337,1.52,-15.27259422823477
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,50.75,0.176845877347511,0.6488787755249532,0.1625385327998104,1.41,-19.82565826298267
22,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,47.62,0.07111635011762973,0.49572339295331147,0.06746210411099539,0.74,-0.09773140045925555
23,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,47.25,0.1997568152855702,0.1296144979566933,0.08232801295222093,0.75,-21.751396370148225
24,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,45.81,0.24504995437428234,0.6195175900829829,0.16211256794033255,1.64,-21.539827112383225
25,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,43.31,0.17322998505102905,0.4640374492204777,0.13173190226099432,1.54,-14.844576917771747
26,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,41.75,0.10808126685493424,0.3006119210425479,0.11989100971217971,0.78,-21.11727956013212
27,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,40.75,0.06440807204457721,-0.08874729621557495,0.06455677495375998,0.6,-0.11629327956168556
28,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,39.0,0.1657924982681238,0.4942725378672354,0.13042924450705445,1.59,-17.57361416468729
29,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,37.94,0.07700989417149118,0.44843400890899143,0.1750072167561127,1.53,-23.34488614483311
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,34.25,0.03909241240919248,-0.3566295075143679,0.05074772999976104,0.55,-8.316361763638703
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,33.38,0.056186515164248885,-0.2265753866279158,0.05620895216638369,0.77,-4.328728923970093
32,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,32.5,0.060755167621195705,-0.8155673679088286,0.060861457957871144,0.79,-0.16224980244717857
33,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,31.5,0.03769015761043071,-0.5670947928476847,0.042817920315060876,0.56,-4.308263824636349
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,27.25,0.07459051034615816,0.07599984804658912,0.0780443887615508,1.56,-24.003511326274886
