amfi_code,scheme_name,fund_house,num_sectors,hhi,concentration
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,7,2064.4766999999993,Moderate Concentration
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,6,2007.0043,Moderate Concentration
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,7,1747.5095999999999,Moderate Concentration
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,8,1747.0901999999999,Moderate Concentration
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,6,1682.9820000000002,Moderate Concentration
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,6,1679.2973,Moderate Concentration
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,7,1575.7036000000003,Moderate Concentration
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,7,1537.936,Moderate Concentration
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,6,1524.1398000000002,Moderate Concentration
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,7,1496.8035000000002,Diversified
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,7,1493.9642000000001,Diversified
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,7,1475.9225999999996,Diversified
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,7,1416.2096000000001,Diversified
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,7,1408.7026,Diversified
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,8,1395.3386,Diversified
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,6,1385.8416999999997,Diversified
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,7,1365.8554000000001,Diversified
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,6,1364.0591000000002,Diversified
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,6,1359.4415000000001,Diversified
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,7,1343.9797,Diversified
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,8,1308.9424,Diversified
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,6,1298.0494999999999,Diversified
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,7,1293.3173000000002,Diversified
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,9,1286.8306000000002,Diversified
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,8,1274.3881,Diversified
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,7,1214.6086,Diversified
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,8,1187.1552,Diversified
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,9,1186.7710000000002,Diversified
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,10,1146.9284,Diversified
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,8,1096.0535000000002,Diversified
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,8,1086.7415,Diversified
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,8,1083.5772,Diversified
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,7,1080.1068999999998,Diversified
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,7,1073.4895,Diversified
