rank,amfi_code,scheme_name,fund_house,sharpe_ratio
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,1.4482911703262602
2,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,1.3067439695428407
3,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,1.2349300257743299
4,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,1.208266567372718
5,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,1.1801011976606492
6,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.1321218524747247
7,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.0936987435346308
8,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.0816591793457044
9,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.0272133278753697
10,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.0265242847993001
11,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,0.9982309868636414
12,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,0.9532794968660105
13,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,0.9497958246616032
14,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,0.9453082575156094
15,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,0.9262873467360146
16,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,0.8170993373494371
17,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,0.7979728586052847
18,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,0.7757902498211209
19,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,0.664856998549062
20,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,0.6488787755249532
21,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,0.6452074382933216
22,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,0.6195175900829829
23,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,0.49572339295331147
24,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.4942725378672354
25,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.4640374492204777
26,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.44843400890899143
27,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.3006119210425479
28,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.16266076928646758
29,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.1296144979566933
30,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.07599984804658912
31,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.030784850954585913
32,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-0.05718662582818005
33,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-0.07597357117478937
34,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,-0.08874729621557495
35,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-0.20151706755966933
36,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.20583160785470306
37,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,-0.2265753866279158
38,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,-0.3566295075143679
39,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,-0.5670947928476847
40,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,-0.8155673679088286
