rank,amfi_code,scheme_name,fund_house,sortino_ratio
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,2.385644373368819
2,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,2.364320032166718
3,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,2.146913926346056
4,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,2.140267129061794
5,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,2.0293529404657464
6,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,1.8751010639192085
7,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,1.8501325468557264
8,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,1.8291339615146944
9,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,1.8052937940992546
10,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,1.7995628746984524
11,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,1.7037974802463003
12,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,1.6753165700125519
13,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,1.6327409778735162
14,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,1.6197931764914093
15,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,1.6097764896283082
16,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,1.4357420130649496
17,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,1.3379431500669237
18,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,1.3306512447571368
19,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,1.154475716923624
20,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,1.1379767187807421
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,1.0958951614736467
22,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,1.0887552508030016
23,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,1.0521238822609271
24,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,0.8625738849916588
25,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,0.7621288703723165
26,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,0.7460146308533573
27,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,0.5088128197169232
28,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,0.2766437962609231
29,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,0.2210868397927636
30,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,0.12469346986475656
31,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,0.05257398559304798
32,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,-0.09438726129459621
33,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,-0.12818559275851954
34,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,-0.18772304774242665
35,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,-0.3472223025472726
36,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,-0.3510474601523089
37,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,-0.3767670081706669
38,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,-0.6135251287271025
39,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,-0.9418212366054207
40,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,-1.6810378667512855
